"product_category_name":"price_year":"name":"price_avg":"price_unit":"price_value":"price_value_unit"
Rýže loupaná dlouhozrnná:2012:Olomoucký kraj:37.4:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2012:Zlínský kraj:31.49:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2012:Moravskoslezský kraj:34.76:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2013:Hlavní město Praha:31.84:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2013:Středočeský kraj:36.87:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2013:Jihočeský kraj:32.08:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2013:Plzeňský kraj:34.77:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2013:Karlovarský kraj:32.48:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2013:Ústecký kraj:34.91:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2013:Liberecký kraj:37.5:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2013:Královéhradecký kraj:34.27:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2013:Pardubický kraj:35.98:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2013:Kraj Vysočina:32.7:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2013:Jihomoravský kraj:37.6:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2013:Olomoucký kraj:37.58:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2013:Zlínský kraj:31.65:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2013:Moravskoslezský kraj:35.96:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2014:Hlavní město Praha:33.02:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2014:Středočeský kraj:37.14:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2014:Jihočeský kraj:32.26:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2014:Plzeňský kraj:36.12:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2014:Karlovarský kraj:32.07:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2014:Ústecký kraj:36.43:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2014:Liberecký kraj:38.15:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2014:Královéhradecký kraj:34.47:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2014:Pardubický kraj:37.63:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2014:Kraj Vysočina:33.28:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2014:Jihomoravský kraj:37.13:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2014:Olomoucký kraj:38.51:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2014:Zlínský kraj:32.85:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2014:Moravskoslezský kraj:35.35:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2015:Hlavní město Praha:33.19:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2015:Středočeský kraj:36.55:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2015:Jihočeský kraj:32.48:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2015:Plzeňský kraj:37.84:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2015:Karlovarský kraj:31.93:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2015:Ústecký kraj:37.71:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2015:Liberecký kraj:38.96:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2015:Královéhradecký kraj:35.47:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2015:Pardubický kraj:35.31:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2015:Kraj Vysočina:34.24:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2015:Jihomoravský kraj:37.65:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2015:Olomoucký kraj:39.0:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2015:Zlínský kraj:36.35:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2015:Moravskoslezský kraj:36.33:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2016:Hlavní město Praha:33.59:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2016:Středočeský kraj:37.06:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2016:Jihočeský kraj:34.47:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2016:Plzeňský kraj:37.89:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2016:Karlovarský kraj:32.86:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2016:Ústecký kraj:38.67:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2016:Liberecký kraj:40.05:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2016:Královéhradecký kraj:35.08:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2016:Pardubický kraj:35.97:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2016:Kraj Vysočina:33.51:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2016:Jihomoravský kraj:37.49:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2016:Olomoucký kraj:39.73:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2016:Zlínský kraj:37.64:Kč:1.0:kg
